policy,h,H,C,D,Omega,Lambda,chi,t0_real,t0_integer,Psi,R,event_fraction_capacity,event_fraction_free,rmst_capacity,mean_T_observed,median_T_observed,mean_T_free_observed,n_delay_estimable,mean_DeltaT,median_DeltaT,q90_DeltaT,q95_DeltaT,max_DeltaT,mean_blocked_fraction,prob_any_block,mean_n_blocked,mean_first_block_attempt_conditional,mean_windows_started
matched,0.0,0.0,60,24,0.4,1.0,0.4,54.3794587231162,55,0.906324312051936,200,1.0,1.0,55.585,55.585,55.0,55.585,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0
matched,0.0,0.0,60,36,0.6,1.0,0.6,54.3794587231162,55,0.906324312051936,200,1.0,1.0,55.675,55.675,55.0,55.59,200,0.085,0.0,0.0,1.0,4.0,0.0028103044496487,0.075,0.085,33.1333333333333,2.0
matched,0.0,0.0,60,48,0.8,1.0,0.8,54.3794587231162,55,0.906324312051936,200,1.0,1.0,57.375,57.375,57.0,55.84,200,1.535,1.0,4.0,4.0,8.0,0.0350877192982456,0.785,2.015,42.3184713375796,2.0
matched,0.0,0.0,60,60,1.0,1.0,1.0,54.3794587231162,55,0.906324312051936,200,1.0,1.0,61.92,61.92,62.0,55.765,200,6.155,6.0,9.0,10.0,13.0,0.118863222913694,0.975,7.36,44.1435897435897,2.0
matched,0.0,0.0,60,72,1.2,1.0,1.2,54.3794587231162,55,0.906324312051936,200,1.0,1.0,64.235,64.235,63.0,55.555,200,8.68,7.0,16.0,18.0,22.0,0.149278183370271,0.95,9.59,44.1052631578947,1.26
matched,0.0,0.0,60,90,1.5,1.0,1.5,54.3794587231162,55,0.906324312051936,200,1.0,1.0,65.87,65.87,63.0,55.675,200,10.195,7.5,28.0,31.0,35.0,0.165068803578561,0.98,10.85,44.5561224489796,1.0
matched,0.0,0.0,60,120,2.0,1.0,2.0,54.3794587231162,55,0.906324312051936,200,1.0,1.0,67.07,67.07,63.0,55.685,200,11.385,8.0,24.0,28.05,38.0,0.179639941851796,0.985,11.95,44.8527918781726,1.0
matched,0.0666666666666667,0.00444444444444445,60,24,0.4,1.0,0.4,54.0755604262752,55,0.90125934043792,200,1.0,1.0,55.34,55.34,55.0,55.34,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0
matched,0.0666666666666667,0.00444444444444445,60,36,0.6,1.0,0.6,54.0755604262752,55,0.90125934043792,200,1.0,1.0,55.465,55.465,55.0,55.33,200,0.135,0.0,0.0,1.0,4.0,0.00442752884092075,0.12,0.135,33.125,2.0
matched,0.0666666666666667,0.00444444444444445,60,48,0.8,1.0,0.8,54.0755604262752,55,0.90125934043792,200,1.0,1.0,56.645,56.645,56.0,55.255,200,1.39,1.0,4.0,4.0,7.0,0.0311656042881225,0.77,1.765,41.9285714285714,2.0
matched,0.0666666666666667,0.00444444444444445,60,60,1.0,1.0,1.0,54.0755604262752,55,0.90125934043792,200,1.0,1.0,61.115,61.115,61.0,55.315,200,5.8,6.0,9.0,10.0,11.0,0.110264064953199,0.98,6.74,43.6683673469388,2.0
matched,0.0666666666666667,0.00444444444444445,60,72,1.2,1.0,1.2,54.0755604262752,55,0.90125934043792,200,1.0,1.0,64.27,64.27,63.0,55.34,200,8.93,8.0,16.0,18.0,23.0,0.147224207215537,0.96,9.465,43.703125,1.31
matched,0.0666666666666667,0.00444444444444445,60,90,1.5,1.0,1.5,54.0755604262752,55,0.90125934043792,200,1.0,1.0,65.97,65.97,63.0,55.31,200,10.66,8.0,27.0,30.0,35.0,0.161230245300176,0.98,10.58,43.8928571428571,1.0
matched,0.0666666666666667,0.00444444444444445,60,120,2.0,1.0,2.0,54.0755604262752,55,0.90125934043792,200,1.0,1.0,66.62,66.62,63.0,55.31,200,11.31,8.0,25.0,29.0,37.0,0.174980907312698,0.98,11.655,43.9489795918367,1.0
matched,0.133333333333333,0.0177777777777777,60,24,0.4,1.0,0.4,53.248417650829,54,0.887473627513817,200,1.0,1.0,54.555,54.555,54.0,54.555,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0
matched,0.133333333333333,0.0177777777777777,60,36,0.6,1.0,0.6,53.248417650829,54,0.887473627513817,200,1.0,1.0,54.8,54.8,54.0,54.72,200,0.08,0.0,0.0,1.0,2.0,0.00276752767527675,0.075,0.08,33.0666666666667,2.0
matched,0.133333333333333,0.0177777777777777,60,48,0.8,1.0,0.8,53.248417650829,54,0.887473627513817,200,1.0,1.0,55.885,55.885,55.0,54.485,200,1.4,1.0,4.0,4.0,9.0,0.0325428258022008,0.795,1.815,41.8993710691824,2.0
matched,0.133333333333333,0.0177777777777777,60,60,1.0,1.0,1.0,53.248417650829,54,0.887473627513817,200,1.0,1.0,59.745,59.745,60.0,54.425,200,5.32,5.0,9.0,10.0,14.0,0.105593773534195,0.975,6.31,42.2871794871795,1.715
matched,0.133333333333333,0.0177777777777777,60,72,1.2,1.0,1.2,53.248417650829,54,0.887473627513817,200,1.0,1.0,62.805,62.805,62.0,54.455,200,8.35,7.0,16.0,17.0,23.0,0.145129129760397,0.96,9.08,42.2135416666667,1.25
matched,0.133333333333333,0.0177777777777777,60,90,1.5,1.0,1.5,53.248417650829,54,0.887473627513817,200,1.0,1.0,63.705,63.705,62.0,54.665,200,9.04,6.0,25.1,28.0,34.0,0.147804376840584,0.97,9.415,42.3505154639175,1.0
