scope,metric,value
primary_uniform_oos,n_cells,63.0
primary_uniform_oos,pearson_T,0.9951184193914162
primary_uniform_oos,MAE_T,2.2058723096248105
primary_uniform_oos,RMSE_T,3.295898927822213
primary_uniform_oos,pearson_delay,0.9917592870432178
primary_uniform_oos,MAE_delay,1.5880178016788138
primary_uniform_oos,RMSE_delay,3.027595305823849
primary_uniform_alpha_0.06,n_cells,21.0
primary_uniform_alpha_0.06,pearson_T,0.9953643414397567
primary_uniform_alpha_0.06,MAE_T,2.0116455647333376
primary_uniform_alpha_0.06,RMSE_T,2.858811225815809
primary_uniform_alpha_0.06,pearson_delay,0.9965756672222713
primary_uniform_alpha_0.06,MAE_delay,1.2316604206988258
primary_uniform_alpha_0.06,RMSE_delay,2.2098093651136406
primary_uniform_alpha_0.10,n_cells,21.0
primary_uniform_alpha_0.10,pearson_T,0.9936294365364956
primary_uniform_alpha_0.10,MAE_T,2.383016469359137
primary_uniform_alpha_0.10,RMSE_T,3.8803843220615466
primary_uniform_alpha_0.10,pearson_delay,0.9972669719993567
primary_uniform_alpha_0.10,MAE_delay,2.1201853560327826
primary_uniform_alpha_0.10,RMSE_delay,4.101745583351261
primary_uniform_alpha_0.12,n_cells,21.0
primary_uniform_alpha_0.12,pearson_T,0.9858435202539333
primary_uniform_alpha_0.12,MAE_T,2.222954894781957
primary_uniform_alpha_0.12,RMSE_T,3.0591935400538657
primary_uniform_alpha_0.12,pearson_delay,0.8759492343781751
primary_uniform_alpha_0.12,MAE_delay,1.412207628304833
primary_uniform_alpha_0.12,RMSE_delay,2.406538124953414
matched_oos_residual,n_cells,63.0
matched_oos_residual,mean_delay_residual,0.6953174602974287
matched_oos_residual,MAE_delay_residual,0.6953174603040982
matched_oos_residual,RMSE_delay_residual,2.208527574561667
