policy,Omega,k,h,H,ell_o,ell_s,C,D,Lambda,chi,regime,ell_star,T_theory_concentrated,T_theory_diffuse,theory_architecture_advantage,R,event_fraction_capacity,event_fraction_free,event_fraction_diffuse,rmst_capacity,rmst_free,rmst_diffuse_capacity,rmst_capacity_penalty,rmst_architecture_advantage,mean_row_capacity_penalty,mean_row_architecture_advantage,mean_T_observed,median_T_observed,q90_T_observed,q95_T_observed,mean_blocked_fraction,prob_any_block,mean_first_block_attempt_conditional,mean_windows_started
matched,0.6,4,0.266666666666667,0.0711111111111111,0.7,0.7,60,36,1.0,0.6,structural_win,0.7,71.9831341236204,77.9217094224296,-5.93857529880916,200,1.0,1.0,1.0,75.875,75.515,81.825,0.35999999999999943,-5.950000000000003,0.36,-5.95,75.875,75.0,83.1,85.0,0.005278964458128589,0.24,50.854166666666664,2.705
matched,0.6,4,0.266666666666667,0.0711111111111111,0.7,0.8,60,36,1.0,0.6,structural_win,0.7,68.2173651701014,77.9217094224296,-9.70434425232816,200,1.0,1.0,1.0,71.9,71.595,81.825,0.3050000000000068,-9.924999999999997,0.305,-9.925,71.9,72.0,79.0,81.0,0.004874770797596001,0.215,48.53488372093023,2.42
matched,0.6,4,0.266666666666667,0.0711111111111111,0.7,0.9,60,36,1.0,0.6,structural_win,0.7,65.169228949213,77.9217094224296,-12.7524804732166,200,1.0,1.0,1.0,68.89,68.635,81.825,0.25499999999999545,-12.935000000000002,0.255,-12.935,68.89,68.0,76.0,78.04999999999998,0.004345391619620382,0.18,44.361111111111114,2.205
matched,0.6,4,0.266666666666667,0.0711111111111111,0.7,1.0,60,36,1.0,0.6,structural_win,0.7,62.6589890226605,77.9217094224296,-15.262720399769,200,1.0,1.0,1.0,66.55,66.3,81.825,0.25,-15.275000000000006,0.25,-15.275,66.55,65.5,74.1,77.04999999999998,0.0035026748555785055,0.14,37.5,2.16
matched,0.6,7,0.466666666666667,0.217777777777778,0.7,0.7,60,36,1.0,0.6,structural_win,0.7,59.7786678920456,77.9217094224296,-18.1430415303839,200,1.0,1.0,1.0,63.505,62.94,81.825,0.5650000000000048,-18.32,0.565,-18.32,63.505,63.0,69.0,71.0,0.008890410403669087,0.295,35.779661016949156,2.03
matched,0.6,7,0.466666666666667,0.217777777777778,0.7,0.8,60,36,1.0,0.6,structural_win,0.7,55.2511126638055,77.9217094224296,-22.670596758624,200,1.0,1.0,1.0,58.64,58.18,81.825,0.46000000000000085,-23.185000000000002,0.46,-23.185,58.64,59.0,64.0,66.0,0.008143217063928978,0.26,32.11538461538461,2.005
matched,0.6,7,0.466666666666667,0.217777777777778,0.7,0.9,60,36,1.0,0.6,structural_win,0.7,51.5637832292123,77.9217094224296,-26.3579261932173,200,1.0,1.0,1.0,54.72,54.2,81.825,0.519999999999996,-27.105000000000004,0.52,-27.105,54.72,54.0,59.0,61.0,0.008275360278401516,0.25,30.86,2.005
matched,0.6,7,0.466666666666667,0.217777777777778,0.7,1.0,60,36,1.0,0.6,structural_win,0.7,48.4953351028817,77.9217094224296,-29.4263743195479,200,1.0,1.0,1.0,51.545,51.05,81.825,0.49500000000000455,-30.28,0.495,-30.28,51.545,51.0,56.0,58.0,0.008678859026285027,0.25,30.86,2.0
matched,0.6,8,0.533333333333333,0.284444444444444,0.7,0.7,60,36,1.0,0.6,structural_win,0.7,54.0209992061136,77.9217094224296,-23.9007102163159,200,1.0,1.0,1.0,57.52,56.92,81.825,0.6000000000000014,-24.305,0.6,-24.305,57.52,57.0,63.0,65.04999999999998,0.010282150209353254,0.34,32.51470588235294,2.005
matched,0.6,8,0.533333333333333,0.284444444444444,0.7,0.8,60,36,1.0,0.6,structural_win,0.7,49.3067941071422,77.9217094224296,-28.614915315287405,200,1.0,1.0,1.0,52.205,51.735,81.825,0.46999999999999886,-29.620000000000005,0.47,-29.62,52.205,52.0,56.099999999999994,58.0,0.010398888132486088,0.33,31.727272727272727,2.0
matched,0.6,8,0.533333333333333,0.284444444444444,0.7,0.9,60,36,1.0,0.6,structural_win,0.7,45.4664317874631,77.9217094224296,-32.4552776349665,200,1.0,1.0,1.0,48.205,47.725,81.825,0.4799999999999969,-33.620000000000005,0.48,-33.62,48.205,48.0,52.0,53.04999999999998,0.011210999574896192,0.33,31.727272727272727,2.0
matched,0.6,8,0.533333333333333,0.284444444444444,0.7,1.0,60,36,1.0,0.6,structural_win,0.7,42.266590859071606,77.9217094224296,-35.655118563358,200,1.0,1.0,1.0,44.855,44.38,81.825,0.4749999999999943,-36.970000000000006,0.475,-36.97,44.855,44.0,48.0,49.0,0.01201426820257137,0.33,31.727272727272727,2.0
matched,0.6,9,0.6,0.36,0.7,0.7,60,36,1.0,0.6,structural_win,0.7,47.7159701583369,77.9217094224296,-30.2057392640927,200,1.0,1.0,1.0,51.65,51.255,81.825,0.394999999999996,-30.175000000000004,0.395,-30.175,51.65,51.0,57.0,59.0,0.01104034253766629,0.35,30.84285714285714,2.0
matched,0.6,9,0.6,0.36,0.7,0.8,60,36,1.0,0.6,structural_win,0.7,42.9724356826628,77.9217094224296,-34.9492737397668,200,1.0,1.0,1.0,46.445,46.015,81.825,0.4299999999999997,-35.38,0.43,-35.38,46.445,46.0,51.0,52.0,0.012197356476413289,0.35,30.84285714285714,2.0
matched,0.6,9,0.6,0.36,0.7,0.9,60,36,1.0,0.6,structural_win,0.7,39.1316984795485,77.9217094224296,-38.7900109428811,200,1.0,1.0,1.0,41.88,41.45,81.825,0.4299999999999997,-39.945,0.43,-39.945,41.88,42.0,45.0,46.0,0.013588492977835898,0.35,30.84285714285714,1.98
matched,0.6,9,0.6,0.36,0.7,1.0,60,36,1.0,0.6,structural_win,0.7,35.949578604108,77.9217094224296,-41.9721308183216,200,1.0,1.0,1.0,38.1,37.74,81.825,0.35999999999999943,-43.725,0.36,-43.725,38.1,38.0,41.0,42.0,0.014670101868612175,0.345,30.768115942028984,1.75
matched,0.6,10,0.666666666666667,0.444444444444444,0.7,0.7,60,36,1.0,0.6,structural_win,0.7,41.336311388353394,77.9217094224296,-36.5853980340762,200,1.0,1.0,1.0,44.775,44.4,81.825,0.375,-37.050000000000004,0.375,-37.05,44.775,45.0,51.0,52.0,0.014857164854585651,0.39,30.025641025641026,1.98
