policy,Omega,k,h,ell_s,regime,ell_star,theory_architecture_advantage,rmst_architecture_advantage,prediction_favors_concentration,observed_favors_concentration,sign_match,error_observed_minus_theory
matched,0.6,4,0.266666666666667,0.7,structural_win,0.7,-5.93857529880916,-5.950000000000003,1,1,1,-0.011424701190843045
matched,0.6,4,0.266666666666667,0.8,structural_win,0.7,-9.70434425232816,-9.924999999999997,1,1,1,-0.22065574767183804
matched,0.6,4,0.266666666666667,0.9,structural_win,0.7,-12.7524804732166,-12.935000000000002,1,1,1,-0.1825195267834019
matched,0.6,4,0.266666666666667,1.0,structural_win,0.7,-15.262720399769,-15.275000000000006,1,1,1,-0.012279600231005716
matched,0.6,7,0.466666666666667,0.7,structural_win,0.7,-18.1430415303839,-18.32,1,1,1,-0.17695846961609973
matched,0.6,7,0.466666666666667,0.8,structural_win,0.7,-22.670596758624,-23.185000000000002,1,1,1,-0.5144032413760016
matched,0.6,7,0.466666666666667,0.9,structural_win,0.7,-26.3579261932173,-27.105000000000004,1,1,1,-0.747073806782705
matched,0.6,7,0.466666666666667,1.0,structural_win,0.7,-29.4263743195479,-30.28,1,1,1,-0.853625680452101
matched,0.6,8,0.533333333333333,0.7,structural_win,0.7,-23.9007102163159,-24.305,1,1,1,-0.4042897836840993
matched,0.6,8,0.533333333333333,0.8,structural_win,0.7,-28.614915315287405,-29.620000000000005,1,1,1,-1.0050846847125996
matched,0.6,8,0.533333333333333,0.9,structural_win,0.7,-32.4552776349665,-33.620000000000005,1,1,1,-1.164722365033505
matched,0.6,8,0.533333333333333,1.0,structural_win,0.7,-35.655118563358,-36.970000000000006,1,1,1,-1.314881436642004
matched,0.6,9,0.6,0.7,structural_win,0.7,-30.2057392640927,-30.175000000000004,1,1,1,0.030739264092694896
matched,0.6,9,0.6,0.8,structural_win,0.7,-34.9492737397668,-35.38,1,1,1,-0.43072626023320026
matched,0.6,9,0.6,0.9,structural_win,0.7,-38.7900109428811,-39.945,1,1,1,-1.1549890571188968
matched,0.6,9,0.6,1.0,structural_win,0.7,-41.9721308183216,-43.725,1,1,1,-1.752869181678399
matched,0.6,10,0.666666666666667,0.7,structural_win,0.7,-36.5853980340762,-37.050000000000004,1,1,1,-0.464601965923805
matched,0.6,10,0.666666666666667,0.8,structural_win,0.7,-41.1432182578283,-42.150000000000006,1,1,1,-1.0067817421717038
matched,0.6,10,0.666666666666667,0.9,structural_win,0.7,-44.792599922388,-46.53,1,1,1,-1.7374000776120013
matched,0.6,10,0.666666666666667,1.0,structural_win,0.7,-47.78491562467391,-50.08,1,1,1,-2.295084375326091
matched,0.6,11,0.733333333333333,0.7,structural_win,0.7,-42.5495111980563,-43.015,1,1,1,-0.46548880194369957
matched,0.6,11,0.733333333333333,0.8,structural_win,0.7,-46.7381746275278,-48.040000000000006,1,1,1,-1.3018253724722086
matched,0.6,11,0.733333333333333,0.9,structural_win,0.7,-50.0531123952896,-51.86,1,1,1,-1.806887604710397
matched,0.6,11,0.733333333333333,1.0,structural_win,0.7,-52.743376008416796,-55.18000000000001,1,1,1,-2.436623991583211
matched,0.6,13,0.866666666666667,0.7,structural_win,0.7,-52.20318232714639,-53.290000000000006,1,1,1,-1.0868176728536127
matched,0.6,13,0.866666666666667,0.8,structural_win,0.7,-55.4614197955743,-57.245000000000005,1,1,1,-1.7835802044257036
matched,0.6,13,0.866666666666667,0.9,structural_win,0.7,-58.003885773636306,-60.13,1,1,1,-2.126114226363697
matched,0.6,13,0.866666666666667,1.0,structural_win,0.7,-60.0432054532794,-62.7,1,1,1,-2.6567945467206044
matched,0.6,15,1.0,0.7,structural_win,0.7,-58.8582146956251,-60.125,1,1,1,-1.2667853043748991
matched,0.6,15,1.0,0.8,structural_win,0.7,-61.3112532815503,-63.11,1,1,1,-1.7987467184496992
matched,0.6,15,1.0,0.9,structural_win,0.7,-63.219351938118095,-65.49000000000001,1,1,1,-2.2706480618819143
matched,0.6,15,1.0,1.0,structural_win,0.7,-64.7459947456882,-67.825,1,1,1,-3.0790052543118094
matched,1.0,4,0.266666666666667,0.7,structural_win,0.7,-5.9385752988419,-6.734999999999999,1,1,1,-0.7964247011580996
matched,1.0,4,0.266666666666667,0.8,structural_win,0.7,-9.70434425234998,-10.659999999999997,1,1,1,-0.9556557476500167
matched,1.0,4,0.266666666666667,0.9,structural_win,0.7,-12.7524804732275,-13.719999999999999,1,1,1,-0.9675195267724988
matched,1.0,4,0.266666666666667,1.0,structural_win,0.7,-15.2627203998236,-16.309999999999988,1,1,1,-1.0472796001763882
matched,1.0,7,0.466666666666667,0.7,structural_win,0.7,-18.1430415303839,-19.58,1,1,1,-1.4369584696160977
matched,1.0,7,0.466666666666667,0.8,structural_win,0.7,-22.6705967586349,-24.694999999999993,1,1,1,-2.0244032413650928
matched,1.0,7,0.466666666666667,0.9,structural_win,0.7,-26.35792619325,-29.069999999999993,1,1,1,-2.7120738067499914
matched,1.0,7,0.466666666666667,1.0,structural_win,0.7,-29.426374319591602,-33.355,1,1,1,-3.9286256804083948
matched,1.0,8,0.533333333333333,0.7,structural_win,0.7,-23.9007102163487,-26.334999999999994,1,1,1,-2.4342897836512947
matched,1.0,8,0.533333333333333,0.8,structural_win,0.7,-28.614915315374695,-32.88499999999999,1,1,1,-4.270084684625296
matched,1.0,8,0.533333333333333,0.9,structural_win,0.7,-32.4552776350538,-38.644999999999996,1,1,1,-6.189722364946199
matched,1.0,8,0.533333333333333,1.0,structural_win,0.7,-35.6551185633907,-43.029999999999994,1,1,1,-7.374881436609293
matched,1.0,9,0.6,0.7,structural_win,0.7,-30.2057392641473,-35.989999999999995,1,1,1,-5.784260735852694
matched,1.0,9,0.6,0.8,structural_win,0.7,-34.9492737397668,-42.464999999999996,1,1,1,-7.515726260233194
matched,1.0,9,0.6,0.9,structural_win,0.7,-38.7900109429575,-47.349999999999994,1,1,1,-8.559989057042493
matched,1.0,9,0.6,1.0,structural_win,0.7,-41.9721308183216,-51.24999999999999,1,1,1,-9.27786918167839
matched,1.0,10,0.666666666666667,0.7,structural_win,0.7,-36.5853980340762,-44.105,1,1,1,-7.519601965923798
matched,1.0,10,0.666666666666667,0.8,structural_win,0.7,-41.1432182578392,-49.66,1,1,1,-8.516781742160795
matched,1.0,10,0.666666666666667,0.9,structural_win,0.7,-44.7925999224208,-53.91499999999999,1,1,1,-9.122400077579194
matched,1.0,10,0.666666666666667,1.0,structural_win,0.7,-47.7849156247066,-57.47,1,1,1,-9.6850843752934
matched,1.0,11,0.733333333333333,0.7,structural_win,0.7,-42.5495111980672,-50.019999999999996,1,1,1,-7.470488801932795
matched,1.0,11,0.733333333333333,0.8,structural_win,0.7,-46.7381746275714,-55.35999999999999,1,1,1,-8.621825372428596
matched,1.0,11,0.733333333333333,0.9,structural_win,0.7,-50.05311239534419,-59.294999999999995,1,1,1,-9.241887604655801
matched,1.0,11,0.733333333333333,1.0,structural_win,0.7,-52.7433760084386,-62.46499999999999,1,1,1,-9.721623991561387
matched,1.0,13,0.866666666666667,0.7,structural_win,0.7,-52.2031823272118,-60.724999999999994,1,1,1,-8.521817672788195
matched,1.0,13,0.866666666666667,0.8,structural_win,0.7,-55.4614197956289,-64.74,1,1,1,-9.278580204371096
matched,1.0,13,0.866666666666667,0.9,structural_win,0.7,-58.0038857737236,-67.71,1,1,1,-9.70611422627639
matched,1.0,13,0.866666666666667,1.0,structural_win,0.7,-60.04320545331209,-70.28,1,1,1,-10.23679454668791
matched,1.0,15,1.0,0.7,structural_win,0.7,-58.8582146957015,-67.815,1,1,1,-8.9567853042985
matched,1.0,15,1.0,0.8,structural_win,0.7,-61.31125328158301,-70.88999999999999,1,1,1,-9.57874671841698
matched,1.0,15,1.0,0.9,structural_win,0.7,-63.2193519381508,-73.1,1,1,1,-9.880648061849193
matched,1.0,15,1.0,1.0,structural_win,0.7,-64.7459947456991,-75.21,1,1,1,-10.4640052543009
matched,1.5,4,0.266666666666667,0.7,structural_win,0.7,-5.9385752988419,-5.230000000000004,1,1,1,0.7085752988418959
matched,1.5,4,0.266666666666667,0.8,structural_win,0.7,-9.70434425234998,-8.945000000000007,1,1,1,0.7593442523499725
matched,1.5,4,0.266666666666667,0.9,structural_win,0.7,-12.7524804732275,-12.424999999999997,1,1,1,0.32748047322750296
matched,1.5,4,0.266666666666667,1.0,structural_win,0.7,-15.2627203998236,-15.885000000000005,1,1,1,-0.6222796001764053
matched,1.5,7,0.466666666666667,0.7,structural_win,0.7,-48.1430415303839,-23.290000000000006,1,1,1,24.85304153038389
matched,1.5,7,0.466666666666667,0.8,structural_win,0.7,-52.6705967586349,-36.28500000000001,1,1,1,16.38559675863489
matched,1.5,7,0.466666666666667,0.9,structural_win,0.7,-56.35792619325,-48.795,1,1,1,7.56292619325
matched,1.5,7,0.466666666666667,1.0,structural_win,0.7,-59.4263743195915,-56.24,1,1,1,3.1863743195915006
matched,1.5,8,0.533333333333333,0.7,structural_win,0.7,-53.9007102163487,-40.19500000000001,1,1,1,13.705710216348692
matched,1.5,8,0.533333333333333,0.8,structural_win,0.7,-58.6149153153747,-55.905,1,1,1,2.709915315374701
matched,1.5,8,0.533333333333333,0.9,structural_win,0.7,-62.4552776350538,-62.400000000000006,1,1,1,0.05527763505379113
matched,1.5,8,0.533333333333333,1.0,structural_win,0.7,-65.6551185633907,-66.55000000000001,1,1,1,-0.8948814366093103
matched,1.5,9,0.6,0.7,structural_win,0.7,-60.2057392641473,-57.785000000000004,1,1,1,2.4207392641472936
matched,1.5,9,0.6,0.8,structural_win,0.7,-64.9492737397668,-66.135,1,1,1,-1.18572626023321
matched,1.5,9,0.6,0.9,structural_win,0.7,-68.7900109429574,-70.815,1,1,1,-2.0249890570426032
matched,1.5,9,0.6,1.0,structural_win,0.7,-71.9721308183216,-74.845,1,1,1,-2.8728691816783964
matched,1.5,10,0.666666666666667,0.7,structural_win,0.7,-66.5853980340762,-67.255,1,1,1,-0.6696019659237891
matched,1.5,10,0.666666666666667,0.8,structural_win,0.7,-71.1432182578392,-73.295,1,1,1,-2.151781742160807
matched,1.5,10,0.666666666666667,0.9,structural_win,0.7,-74.7925999224208,-77.66,1,1,1,-2.867400077579191
matched,1.5,10,0.666666666666667,1.0,structural_win,0.7,-77.7849156247066,-81.065,1,1,1,-3.2800843752933986
matched,1.5,11,0.733333333333333,0.7,structural_win,0.7,-72.5495111980672,-74.44500000000001,1,1,1,-1.8954888019328138
matched,1.5,11,0.733333333333333,0.8,structural_win,0.7,-76.7381746275714,-78.855,1,1,1,-2.1168253724286075
matched,1.5,11,0.733333333333333,0.9,structural_win,0.7,-80.0531123953442,-82.59,1,1,1,-2.536887604655803
matched,1.5,11,0.733333333333333,1.0,structural_win,0.7,-82.7433760084386,-85.98,1,1,1,-3.2366239915614017
matched,1.5,13,0.866666666666667,0.7,structural_win,0.7,-82.20318232721179,-84.185,1,1,1,-1.9818176727882104
matched,1.5,13,0.866666666666667,0.8,structural_win,0.7,-85.4614197956289,-88.045,1,1,1,-2.5835802043711027
matched,1.5,13,0.866666666666667,0.9,structural_win,0.7,-88.0038857737236,-91.10000000000001,1,1,1,-3.0961142262764128
matched,1.5,13,0.866666666666667,1.0,structural_win,0.7,-90.0432054533121,-93.665,1,1,1,-3.6217945466879087
matched,1.5,15,1.0,0.7,structural_win,0.7,-88.8582146957015,-90.905,1,1,1,-2.0467853042984956
matched,1.5,15,1.0,0.8,structural_win,0.7,-91.311253281583,-93.94500000000001,1,1,1,-2.633746718417001
matched,1.5,15,1.0,0.9,structural_win,0.7,-93.2193519381508,-96.375,1,1,1,-3.155648061849206
matched,1.5,15,1.0,1.0,structural_win,0.7,-94.7459947456991,-98.73,1,1,1,-3.984005254300911
uniform,0.6,4,0.266666666666667,0.7,structural_win,0.7,-2.32995931947274,-0.6500000000000057,1,1,1,1.6799593194727342
uniform,0.6,4,0.266666666666667,0.8,structural_win,0.7,-6.574631949828469,-4.915000000000006,1,1,1,1.659631949828463
uniform,0.6,4,0.266666666666667,0.9,structural_win,0.7,-10.9953239285533,-8.615000000000009,1,1,1,2.380323928553292
uniform,0.6,4,0.266666666666667,1.0,structural_win,0.7,-13.5286203694171,-11.695000000000007,1,1,1,1.8336203694170923
uniform,0.6,7,0.466666666666667,0.7,competence_rescuable,0.706968745589256,0.350204800841311,-0.835000000000008,0,1,0,-1.185204800841319
uniform,0.6,7,0.466666666666667,0.8,competence_rescuable,0.706968745589256,-4.1964646905144,-6.920000000000002,1,1,1,-2.7235353094856016
uniform,0.6,7,0.466666666666667,0.9,competence_rescuable,0.706968745589256,-17.1848035907788,-12.725000000000009,1,1,1,4.45980359077879
uniform,0.6,7,0.466666666666667,1.0,competence_rescuable,0.706968745589256,-20.2729699496631,-18.825000000000003,1,1,1,1.4479699496630971
uniform,0.6,8,0.533333333333333,0.7,structural_win,0.7,-0.899015414544223,-2.5349999999999966,1,1,1,-1.6359845854557737
uniform,0.6,8,0.533333333333333,0.8,structural_win,0.7,-5.57357850512086,-9.784999999999997,1,1,1,-4.211421494879136
uniform,0.6,8,0.533333333333333,0.9,structural_win,0.7,-20.9587838350954,-18.57,1,1,1,2.388783835095399
uniform,0.6,8,0.533333333333333,1.0,structural_win,0.7,-24.1460587320807,-25.14,1,1,1,-0.9939412679193005
uniform,0.6,9,0.6,0.7,structural_win,0.7,-3.03826326704231,-5.290000000000006,1,1,1,-2.251736732957696
uniform,0.6,9,0.6,0.8,structural_win,0.7,-21.349213549580398,-14.905000000000001,1,1,1,6.444213549580397
uniform,0.6,9,0.6,0.9,structural_win,0.7,-25.1548217737966,-24.845000000000006,1,1,1,0.3098217737965925
uniform,0.6,9,0.6,1.0,structural_win,0.7,-28.3047786697685,-30.745000000000005,1,1,1,-2.4402213302315054
uniform,0.6,10,0.666666666666667,0.7,structural_win,0.7,-5.74229936875054,-10.799999999999997,1,1,1,-5.057700631249457
uniform,0.6,10,0.666666666666667,0.8,structural_win,0.7,-25.6923559198622,-22.895000000000003,1,1,1,2.7973559198621984
uniform,0.6,10,0.666666666666667,0.9,structural_win,0.7,-29.307277014348095,-31.36,1,1,1,-2.0527229856519043
uniform,0.6,10,0.666666666666667,1.0,structural_win,0.7,-32.2691670326894,-35.010000000000005,1,1,1,-2.7408329673106024
uniform,0.6,11,0.733333333333333,0.7,structural_win,0.7,-25.581960682582597,-18.295,1,1,1,7.286960682582595
uniform,0.6,11,0.733333333333333,0.8,structural_win,0.7,-29.744835410504503,-29.86,1,1,1,-0.11516458949549602
uniform,0.6,11,0.733333333333333,0.9,structural_win,0.7,-33.0381850735948,-34.77,1,1,1,-1.7318149264051996
uniform,0.6,11,0.733333333333333,1.0,structural_win,0.7,-35.7101089570124,-38.330000000000005,1,1,1,-2.6198910429876037
uniform,0.6,13,0.866666666666667,0.7,structural_win,0.7,-32.8973283962793,-33.995000000000005,1,1,1,-1.0976716037207055
uniform,0.6,13,0.866666666666667,0.8,structural_win,0.7,-36.1522871424386,-38.165000000000006,1,1,1,-2.0127128575614037
uniform,0.6,13,0.866666666666667,0.9,structural_win,0.7,-38.6921554201229,-40.835,1,1,1,-2.1428445798770994
uniform,0.6,13,0.866666666666667,1.0,structural_win,0.7,-40.7293662296142,-43.575,1,1,1,-2.8456337703858026
uniform,0.6,15,1.0,0.7,structural_win,0.7,-37.8582146956687,-38.875,1,1,1,-1.0167853043313002
uniform,0.6,15,1.0,0.8,structural_win,0.7,-40.3112532815503,-42.63,1,1,1,-2.3187467184497024
uniform,0.6,15,1.0,0.9,structural_win,0.7,-63.219351938118095,-49.49,1,1,1,13.729351938118093
uniform,0.6,15,1.0,1.0,structural_win,0.7,-64.7459947456664,-67.825,1,1,1,-3.079005254333609
uniform,1.0,4,0.266666666666667,0.7,unrescuable,nan,12.5025539250116,9.66000000000001,0,0,1,-2.8425539250115897
uniform,1.0,4,0.266666666666667,0.8,unrescuable,nan,8.58433434190981,2.7250000000000085,0,0,1,-5.859334341909802
uniform,1.0,4,0.266666666666667,0.9,unrescuable,nan,5.37018892171545,-1.884999999999991,0,1,0,-7.255188921715441
uniform,1.0,4,0.266666666666667,1.0,unrescuable,nan,2.68179599738384,-5.569999999999993,0,1,0,-8.251795997383834
uniform,1.0,7,0.466666666666667,0.7,unrescuable,nan,39.6119588467263,22.480000000000004,0,0,1,-17.1319588467263
uniform,1.0,7,0.466666666666667,0.8,unrescuable,nan,6.88948870827517,8.810000000000002,0,0,1,1.9205112917248321
uniform,1.0,7,0.466666666666667,0.9,unrescuable,nan,3.18062507329159,-2.0049999999999955,0,1,0,-5.185625073291586
uniform,1.0,7,0.466666666666667,1.0,unrescuable,nan,0.0835776409803657,-8.08999999999999,0,1,0,-8.173577640980355
uniform,1.0,8,0.533333333333333,0.7,competence_rescuable,0.918005236983299,42.5092020802031,25.445000000000007,0,0,1,-17.064202080203096
uniform,1.0,8,0.533333333333333,0.8,competence_rescuable,0.918005236983299,4.39220310498757,8.550000000000011,0,0,1,4.157796895012441
uniform,1.0,8,0.533333333333333,0.9,competence_rescuable,0.918005236983299,0.608535563664745,-5.864999999999995,0,1,0,-6.47353556366474
uniform,1.0,8,0.533333333333333,1.0,competence_rescuable,0.918005236983299,-2.54034196695032,-12.269999999999996,1,1,1,-9.729658033049676
uniform,1.0,9,0.6,0.7,competence_rescuable,0.828633433580399,41.8817322832625,21.345000000000013,0,0,1,-20.536732283262488
uniform,1.0,9,0.6,0.8,competence_rescuable,0.828633433580399,1.15079706825003,2.1099999999999994,0,0,1,0.9592029317499695
uniform,1.0,9,0.6,0.9,competence_rescuable,0.828633433580399,-2.59378965302469,-11.259999999999991,1,1,1,-8.666210346975301
uniform,1.0,9,0.6,1.0,competence_rescuable,0.828633433580399,-5.688117923811131,-16.444999999999993,1,1,1,-10.756882076188862
uniform,1.0,10,0.666666666666667,0.7,competence_rescuable,0.741502052545547,1.9807897077953398,13.030000000000001,0,0,1,11.04921029220466
uniform,1.0,10,0.666666666666667,0.8,competence_rescuable,0.741502052545547,-2.47906238504584,-8.189999999999998,1,1,1,-5.710937614954158
uniform,1.0,10,0.666666666666667,0.9,competence_rescuable,0.741502052545547,-6.04295722130701,-16.24499999999999,1,1,1,-10.20204277869298
uniform,1.0,10,0.666666666666667,1.0,competence_rescuable,0.741502052545547,-8.95995469714762,-19.519999999999996,1,1,1,-10.560045302852377
uniform,1.0,11,0.733333333333333,0.7,structural_win,0.7,-1.9644568204694197,3.5800000000000125,1,0,0,5.544456820469432
uniform,1.0,11,0.733333333333333,0.8,structural_win,0.7,-6.09209232774901,-13.46499999999999,1,1,1,-7.372907672250979
uniform,1.0,11,0.733333333333333,0.9,structural_win,0.7,-9.35598875245887,-18.799999999999997,1,1,1,-9.444011247541127
uniform,1.0,11,0.733333333333333,1.0,structural_win,0.7,-12.002924738608298,-22.349999999999994,1,1,1,-10.347075261391696
uniform,1.0,13,0.866666666666667,0.7,structural_win,0.7,-8.93125379463527,-15.064999999999998,1,1,1,-6.133746205364728
uniform,1.0,13,0.866666666666667,0.8,structural_win,0.7,-12.1821637448678,-21.784999999999997,1,1,1,-9.602836255132196
uniform,1.0,13,0.866666666666667,0.9,structural_win,0.7,-14.718824385290599,-24.83999999999999,1,1,1,-10.12117561470939
uniform,1.0,13,0.866666666666667,1.0,structural_win,0.7,-16.7534312848329,-27.404999999999994,1,1,1,-10.651568715167095
uniform,1.0,15,1.0,0.7,structural_win,0.7,-13.858214695701498,-22.47,1,1,1,-8.6117853042985
uniform,1.0,15,1.0,0.8,structural_win,0.7,-16.311253281583,-26.43999999999999,1,1,1,-10.128746718416991
uniform,1.0,15,1.0,0.9,structural_win,0.7,-63.2193519381508,-42.74499999999999,1,1,1,20.47435193815081
