scope,metric,value
all_cells,n_cells,192
all_cells,pearson_architecture_advantage,0.9668836377518327
all_cells,MAE_architecture_advantage,5.03234212808167
all_cells,RMSE_architecture_advantage,7.645981762953551
all_cells,sign_agreement_fraction,0.953125
uniform_all,n_cells,96
uniform_all,pearson_architecture_advantage,0.9137768050171875
uniform_all,MAE_architecture_advantage,6.194962468236735
uniform_all,RMSE_architecture_advantage,9.194813192390333
uniform_all,sign_agreement_fraction,0.90625
matched_all,n_cells,96
matched_all,pearson_architecture_advantage,0.9766272553439252
matched_all,MAE_architecture_advantage,3.8697217879266037
matched_all,RMSE_architecture_advantage,5.690121667933057
matched_all,sign_agreement_fraction,1.0
uniform_structural_win,n_cells,52
uniform_structural_win,pearson_architecture_advantage,0.902163677647582
uniform_structural_win,MAE_architecture_advantage,5.666933503255857
uniform_structural_win,RMSE_architecture_advantage,9.29585577009746
uniform_structural_win,sign_agreement_fraction,0.9615384615384616
uniform_competence_rescuable,n_cells,36
uniform_competence_rescuable,pearson_architecture_advantage,0.7668135402072388
uniform_competence_rescuable,MAE_architecture_advantage,6.761536353963286
uniform_competence_rescuable,RMSE_architecture_advantage,9.232755307092988
uniform_competence_rescuable,sign_agreement_fraction,0.9166666666666666
uniform_unrescuable,n_cells,8
uniform_unrescuable,pearson_architecture_advantage,0.9104411884662366
uniform_unrescuable,MAE_architecture_advantage,7.0775682548429675
uniform_unrescuable,RMSE_architecture_advantage,8.32190086173642
uniform_unrescuable,sign_agreement_fraction,0.5
uniform_unrescuable_at_ell1,n_cells,2
uniform_unrescuable_at_ell1,fraction_still_slower_than_diffuse,0.0
uniform_unrescuable_at_ell1,n_stochastic_reversals_favoring_concentration,2
uniform_rescuable_switch_grid,n_regime_cells,9
uniform_rescuable_switch_grid,fraction_exact_coarse_switch_level,0.6666666666666666
uniform_rescuable_switch_grid,mean_absolute_grid_switch_error,0.03333333333333334
