policy,k,h,H,ell_o,ell_s,C,D,Omega,Lambda,chi,gamma,gamma_real,C_shock,chi_shock_fluid,R,event_fraction,mean_T_tilde,mean_shock_delay,median_shock_delay,q90_shock_delay,q95_shock_delay,q99_shock_delay,ES95_shock_delay,prob_delay_ge_one_window,prob_negative_delay,mean_shock_blocked_fraction,prob_any_shock_block,mean_productive_A_shock,mean_productive_B_shock,mean_architecture_advantage_tilde,diffuse_mean_shock_delay,diffuse_q95_shock_delay,diffuse_ES95_shock_delay,diffuse_prob_negative_delay,q95_resilience_contrast,ES95_resilience_contrast
matched,4,0.266666666666667,0.0711111111111111,0.7,0.7,60,36,0.6,1.0,0.6,1.0,1.0,60,0.6,1000,1,75.903,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.005444444444444447,0.117,25.083,25.172,-5.895,0.0,0.0,0.0,0,0.0,0.0
matched,4,0.266666666666667,0.0711111111111111,0.7,0.7,60,36,0.6,1.0,0.6,0.8,0.8,48,0.75,1000,1,76.804,0.901,0.0,3.0,4.0,7.0,5.303571428571429,0,0,0.032083333333333346,0.561,24.397,24.497,-6.119,1.125,4.0,4.821782178217822,0,0.0,0.4817892503536072
matched,4,0.266666666666667,0.0711111111111111,0.7,0.7,60,36,0.6,1.0,0.6,0.6,0.6,36,1.0,1000,1,81.345,5.442,5.0,9.0,11.0,14.0,12.17741935483871,0,0,0.15924999999999997,0.999,21.145,21.274,-6.175,5.722,11.0,12.34920634920635,0,0.0,-0.17178699436763978
matched,4,0.266666666666667,0.0711111111111111,0.7,0.7,60,36,0.6,1.0,0.6,0.5,0.5,30,1.2,1000,1,85.182,9.279,9.0,14.0,15.0,19.0,16.64864864864865,0,0,0.2647777777777778,1,18.521,18.594,-6.388,9.772,16.0,17.865384615384617,0,-1.0,-1.2167359667359676
matched,4,0.266666666666667,0.0711111111111111,0.7,0.7,60,36,0.6,1.0,0.6,0.4,0.4,24,1.5,1000,1,89.959,14.056,14.0,19.0,21.0,24.0,22.758064516129032,0,0,0.3938888888888889,1,15.255,15.3,-6.053,14.214,21.0,22.774647887323944,0,0.0,-0.016583371194911933
matched,4,0.266666666666667,0.0711111111111111,0.7,0.9,60,36,0.6,1.0,0.6,1.0,1.0,60,0.6,1000,1,69.014,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.005916666666666669,0.128,28.27,28.296,-12.784,0.0,0.0,0.0,0,0.0,0.0
matched,4,0.266666666666667,0.0711111111111111,0.7,0.9,60,36,0.6,1.0,0.6,0.8,0.8,48,0.75,1000,1,69.953,0.939,0.0,3.0,4.0,6.0,5.030769230769231,0,0,0.03394444444444446,0.587,27.502,27.54,-12.97,1.125,4.0,4.821782178217822,0,0.0,0.20898705255140904
matched,4,0.266666666666667,0.0711111111111111,0.7,0.9,60,36,0.6,1.0,0.6,0.6,0.6,36,1.0,1000,1,74.348,5.334,5.0,9.0,10.0,13.0,11.24,0,0,0.1603888888888889,1,23.914,23.998,-13.172,5.722,11.0,12.34920634920635,0,-1.0,-1.1092063492063495
matched,4,0.266666666666667,0.0711111111111111,0.7,0.9,60,36,0.6,1.0,0.6,0.5,0.5,30,1.2,1000,1,78.274,9.26,9.0,14.0,15.0,18.0,16.52238805970149,0,0,0.2659722222222222,1,20.968,21.076,-13.296,9.772,16.0,17.865384615384617,0,-1.0,-1.3429965556831256
matched,4,0.266666666666667,0.0711111111111111,0.7,0.9,60,36,0.6,1.0,0.6,0.4,0.4,24,1.5,1000,1,82.824,13.81,14.0,19.0,21.0,25.0,22.943396226415093,0,0,0.39366666666666666,1,17.377,17.397,-13.188,14.214,21.0,22.774647887323944,0,0.0,0.16874833909114884
matched,4,0.266666666666667,0.0711111111111111,0.7,1.0,60,36,0.6,1.0,0.6,1.0,1.0,60,0.6,1000,1,66.763,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.006083333333333336,0.136,29.922,30.001,-15.035,0.0,0.0,0.0,0,0.0,0.0
matched,4,0.266666666666667,0.0711111111111111,0.7,1.0,60,36,0.6,1.0,0.6,0.8,0.8,48,0.75,1000,1,67.723,0.96,0.0,3.0,4.0,6.0,5.061538461538461,0,0,0.03483333333333334,0.568,29.098,29.19,-15.2,1.125,4.0,4.821782178217822,0,0.0,0.2397562833206397
matched,4,0.266666666666667,0.0711111111111111,0.7,1.0,60,36,0.6,1.0,0.6,0.6,0.6,36,1.0,1000,1,72.279,5.516,5.0,10.0,11.0,16.0,13.058823529411764,0,0,0.1621111111111111,1,25.356,25.422,-15.241,5.722,11.0,12.34920634920635,0,0.0,0.7096171802054148
matched,4,0.266666666666667,0.0711111111111111,0.7,1.0,60,36,0.6,1.0,0.6,0.5,0.5,30,1.2,1000,1,76.308,9.545,9.0,14.0,17.0,20.0,18.96078431372549,0,0,0.26983333333333337,1,22.228,22.282,-15.262,9.772,16.0,17.865384615384617,0,1.0,1.0953996983408736
matched,4,0.266666666666667,0.0711111111111111,0.7,1.0,60,36,0.6,1.0,0.6,0.4,0.4,24,1.5,1000,1,80.768,14.005,14.0,19.0,21.0,25.0,22.859375,0,0,0.39675,1,18.294,18.423,-15.244,14.214,21.0,22.774647887323944,0,0.0,0.08472711267605604
matched,7,0.466666666666667,0.217777777777778,0.7,0.7,60,36,0.6,1.0,0.6,1.0,1.0,60,0.6,1000,1,63.725,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.011222222222222225,0.239,24.798,24.991,-18.073,0.0,0.0,0.0,0,0.0,0.0
matched,7,0.466666666666667,0.217777777777778,0.7,0.7,60,36,0.6,1.0,0.6,0.8,0.8,48,0.75,1000,1,65.021,1.296,1.0,3.0,5.0,7.0,5.879310344827586,0,0,0.04780555555555556,0.705,23.87,24.088,-17.902,1.125,4.0,4.821782178217822,0,1.0,1.0575281666097647
matched,7,0.466666666666667,0.217777777777778,0.7,0.7,60,36,0.6,1.0,0.6,0.6,0.6,36,1.0,1000,1,68.425,4.7,4.0,8.0,9.0,12.0,10.098765432098766,0,0,0.1445,0.999,21.419,21.631,-19.095,5.722,11.0,12.34920634920635,0,-2.0,-2.250440917107584
matched,7,0.466666666666667,0.217777777777778,0.7,0.7,60,36,0.6,1.0,0.6,0.5,0.5,30,1.2,1000,1,72.417,8.692,8.0,13.0,14.0,17.0,15.382716049382717,0,0,0.25325,1,18.66,18.877,-19.153,9.772,16.0,17.865384615384617,0,-2.0,-2.4826685660019
matched,7,0.466666666666667,0.217777777777778,0.7,0.7,60,36,0.6,1.0,0.6,0.4,0.4,24,1.5,1000,1,77.227,13.502,13.0,18.0,20.0,24.0,21.619718309859156,0,0,0.3819722222222222,1,15.458,15.604,-18.785,14.214,21.0,22.774647887323944,0,-1.0,-1.154929577464788
matched,7,0.466666666666667,0.217777777777778,0.7,0.9,60,36,0.6,1.0,0.6,1.0,1.0,60,0.6,1000,1,54.824,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.010472222222222227,0.228,29.209,29.227,-26.974,0.0,0.0,0.0,0,0.0,0.0
matched,7,0.466666666666667,0.217777777777778,0.7,0.9,60,36,0.6,1.0,0.6,0.8,0.8,48,0.75,1000,1,56.026,1.202,1.0,3.0,4.0,6.0,4.7875,0,0,0.04530555555555556,0.699,28.265,28.282,-26.897,1.125,4.0,4.821782178217822,0,0.0,-0.03428217821782198
matched,7,0.466666666666667,0.217777777777778,0.7,0.9,60,36,0.6,1.0,0.6,0.6,0.6,36,1.0,1000,1,59.434,4.61,4.0,8.0,9.0,12.0,10.35,0,0,0.14297222222222222,1,25.427,25.444,-28.086,5.722,11.0,12.34920634920635,0,-2.0,-1.99920634920635
matched,7,0.466666666666667,0.217777777777778,0.7,0.9,60,36,0.6,1.0,0.6,0.5,0.5,30,1.2,1000,1,63.424,8.6,8.0,12.0,14.0,16.0,14.948275862068966,0,0,0.25177777777777777,1,22.253,22.291,-28.146,9.772,16.0,17.865384615384617,0,-2.0,-2.9171087533156506
matched,7,0.466666666666667,0.217777777777778,0.7,0.9,60,36,0.6,1.0,0.6,0.4,0.4,24,1.5,1000,1,68.334,13.51,13.0,18.0,19.0,22.0,20.455696202531644,0,0,0.3813333333333333,1,18.484,18.525,-27.678,14.214,21.0,22.774647887323944,0,-2.0,-2.3189516847922995
