panel,pairing,policy,n,C,D,Omega,h,H,Theta,K,R,event_fraction,mean_T_tilde,median_T_tilde,q90_T_tilde,q95_T_tilde,mean_blocked_fraction,prob_any_block,T_free_theory,T_theory,delay_theory,first_exhaustion_theory,exact_T_expected,exact_delay_expected,exact_identity_note,T_error
A,product,matched,4,60,36,0.6,0.0,0.0,0.8,14,500,1.0,55.654,55.0,58.0,59.0,0.0017959561301458,0.068,54.3794587231332,54.3794587231168,-1.63709046319127e-11,60.0,,,h0_matched_equals_uniform_pathwise,1.2745412768832054
A,product,matched,4,60,36,0.6,0.25,0.0625,0.8,14,500,1.0,52.05,52.0,54.0,55.0,0.0048872343151652,0.16,50.6925168637645,50.6925168637317,-3.27418092638254e-11,58.6666666666667,,,,1.3574831362683
A,product,matched,4,60,36,0.6,0.5,0.25,0.8,14,500,1.0,41.064,41.0,43.0,44.0,0.013316643020273,0.302,39.6782912489653,39.6782912489653,0.0,56.0,,,,1.3857087510346986
A,product,matched,4,60,36,0.6,0.75,0.5625,0.8,14,500,1.0,24.938,24.0,27.0,28.0,0.012636246824695,0.186,23.5651179678098,23.5651179678098,0.0,48.0,,,,1.3728820321901978
A,product,matched,4,60,36,0.6,0.9,0.81,0.8,14,500,1.0,17.922,18.0,20.0,20.0,0.0162641983747246,0.238,16.4692194683357,16.4692194683521,1.63709046319127e-11,40.0,,,,1.4527805316478997
A,product,matched,4,60,36,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767904,13.1757146767413,-4.911271389573809e-11,60.0,14.0,0.0,h1_matched_single_carrier,0.8242853232586995
A,product,matched,4,60,60,1.0,0.0,0.0,0.8,14,500,1.0,61.718,62.0,66.0,68.0,0.1158479010455875,0.972,54.3794587231332,54.3794587231605,2.72848410531878e-11,60.0,,,h0_matched_equals_uniform_pathwise,7.3385412768395
A,product,matched,4,60,60,1.0,0.25,0.0625,0.8,14,500,1.0,56.984,56.0,63.0,64.0,0.0966093726751457,0.914,50.6925168637508,50.6925168636953,-5.5479176808148597e-11,58.6666666666667,,,,6.291483136304699
A,product,matched,4,60,60,1.0,0.5,0.25,0.8,14,500,1.0,41.768,41.0,45.0,46.0,0.0314853322504347,0.502,39.6782912489243,39.6782912489361,1.18234311230481e-11,56.0,,,,2.0897087510639025
A,product,matched,4,60,60,1.0,0.75,0.5625,0.8,14,500,1.0,25.01,25.0,27.0,28.0,0.0128248535285214,0.218,23.5651179677689,23.5651179678098,4.0927261579781797e-11,48.0,,,,1.4448820321902005
A,product,matched,4,60,60,1.0,0.9,0.81,0.8,14,500,1.0,17.974,18.0,20.0,20.0,0.0183351732427247,0.28,16.4692194683084,16.4692194683448,3.63868934982747e-11,40.0,,,,1.5047805316552
A,product,matched,4,60,60,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767768,13.1757146767632,-1.36424205265939e-11,60.0,14.0,0.0,h1_matched_single_carrier,0.8242853232368006
