scope,metric,value
all_cells,n_cells,264.0
all_cells,pearson_T,0.9955844453060165
all_cells,MAE_T,3.4567946013722417
all_cells,RMSE_T,7.764691837942787
architecture_penalty_intermediate,n_pairs,78.0
architecture_penalty_intermediate,sign_agreement_fraction,0.8974358974358975
architecture_penalty_intermediate,pearson_penalty,0.9963793392234448
architecture_penalty_intermediate,MAE_penalty,3.5820613172453455
panel_A_scaling,n_groups,9.0
panel_A_scaling,fraction_reentrant_groups,1.0
exact_identities,n_cells,54.0
exact_identities,max_abs_error_mean_T,0.0
exact_identities,fraction_exact,1.0
panel_D_pairing,n_groups,6.0
panel_D_pairing,fraction_reentrant_groups,1.0
panel_D_pairing,n_intermediate_paired_states,9.0
panel_D_pairing,fraction_product_penalty_greater,1.0
panel_D_pairing,mean_product_minus_assortative_penalty,8.070666666666666
panel_A,n_cells,108.0
panel_A,pearson_T,0.9948943188340377
panel_A,MAE_T,5.3702390899820776
panel_B,n_cells,72.0
panel_B,pearson_T,0.9904592440095816
panel_B,MAE_T,2.1744182530267744
panel_C,n_cells,24.0
panel_C,pearson_T,0.9963257726693078
panel_C,MAE_T,2.790580657907556
panel_D,n_cells,60.0
panel_D,pearson_T,0.993271695474806
panel_D,MAE_T,1.81793171727497
