panel,pairing,policy,n,C,D,Omega,h,H,Theta,K,R,event_fraction,mean_T_tilde,median_T_tilde,q90_T_tilde,q95_T_tilde,mean_blocked_fraction,prob_any_block
A,product,matched,4,60,36,0.6,0.0,0.0,0.8,14,500,1.0,55.654,55.0,58.0,59.0,0.001795956130145814,0.068
A,product,matched,4,60,36,0.6,0.25,0.0625,0.8,14,500,1.0,52.05,52.0,54.0,55.0,0.00488723431516527,0.16
A,product,matched,4,60,36,0.6,0.5,0.25,0.8,14,500,1.0,41.064,41.0,43.0,44.0,0.013316643020273009,0.302
A,product,matched,4,60,36,0.6,0.75,0.5625,0.8,14,500,1.0,24.938,24.0,27.0,28.0,0.012636246824695099,0.186
A,product,matched,4,60,36,0.6,0.9,0.81,0.8,14,500,1.0,17.922,18.0,20.0,20.0,0.01626419837472469,0.238
A,product,matched,4,60,36,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
A,product,matched,4,60,60,1.0,0.0,0.0,0.8,14,500,1.0,61.718,62.0,66.0,68.0,0.11584790104558752,0.972
A,product,matched,4,60,60,1.0,0.25,0.0625,0.8,14,500,1.0,56.984,56.0,63.0,64.0,0.09660937267514577,0.914
A,product,matched,4,60,60,1.0,0.5,0.25,0.8,14,500,1.0,41.768,41.0,45.0,46.0,0.03148533225043478,0.502
A,product,matched,4,60,60,1.0,0.75,0.5625,0.8,14,500,1.0,25.01,25.0,27.0,28.0,0.012824853528521491,0.218
A,product,matched,4,60,60,1.0,0.9,0.81,0.8,14,500,1.0,17.974,18.0,20.0,20.0,0.018335173242724732,0.28
A,product,matched,4,60,60,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
A,product,matched,4,60,90,1.5,0.0,0.0,0.8,14,500,1.0,66.72,64.0,81.0,87.0,0.1757681321850684,0.978
A,product,matched,4,60,90,1.5,0.25,0.0625,0.8,14,500,1.0,57.726,56.0,66.0,70.0,0.10467672266922241,0.916
A,product,matched,4,60,90,1.5,0.5,0.25,0.8,14,500,1.0,41.772,41.0,45.0,46.0,0.030310469430698567,0.48
A,product,matched,4,60,90,1.5,0.75,0.5625,0.8,14,500,1.0,24.898,24.0,27.0,28.0,0.011024134632927734,0.208
A,product,matched,4,60,90,1.5,0.9,0.81,0.8,14,500,1.0,17.956,18.0,20.0,20.0,0.019220139941421407,0.284
A,product,matched,4,60,90,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
A,product,matched,8,120,72,0.6,0.0,0.0,0.8,14,500,1.0,111.282,111.0,114.0,116.0,0.0038368970812702676,0.238
A,product,matched,8,120,72,0.6,0.25,0.0625,0.8,14,500,1.0,102.544,102.0,108.0,111.0,0.00783166955005936,0.418
A,product,matched,8,120,72,0.6,0.5,0.25,0.8,14,500,1.0,73.15,73.0,79.0,81.0,0.01645698908372972,0.532
A,product,matched,8,120,72,0.6,0.75,0.5625,0.8,14,500,1.0,29.41,29.0,32.0,33.0,0.00305870405195145,0.076
A,product,matched,8,120,72,0.6,0.9,0.81,0.8,14,500,1.0,18.24,18.0,20.0,21.0,0.0086932013829039,0.148
A,product,matched,8,120,72,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
A,product,matched,8,120,120,1.0,0.0,0.0,0.8,14,500,1.0,124.808,125.0,130.0,132.0,0.1302775504135916,1.0
A,product,matched,8,120,120,1.0,0.25,0.0625,0.8,14,500,1.0,111.884,111.0,122.0,125.0,0.0976609468472595,0.994
A,product,matched,8,120,120,1.0,0.5,0.25,0.8,14,500,1.0,72.852,72.0,78.0,80.0,0.01901090647993734,0.584
A,product,matched,8,120,120,1.0,0.75,0.5625,0.8,14,500,1.0,29.33,29.0,32.0,33.0,0.0033777735159523743,0.09
A,product,matched,8,120,120,1.0,0.9,0.81,0.8,14,500,1.0,18.302,18.0,20.0,21.0,0.011521740121053623,0.202
A,product,matched,8,120,120,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
A,product,matched,8,120,180,1.5,0.0,0.0,0.8,14,500,1.0,135.778,134.0,155.0,163.0,0.19849952568396548,1.0
A,product,matched,8,120,180,1.5,0.25,0.0625,0.8,14,500,1.0,113.59,112.0,126.0,132.0,0.10894460400958918,1.0
