architecture,graph_id,n_trajectories,n_converged,n_nonconverged,convergence_rate,nonconvergence_rate,T_conv_mean,T_conv_median,T_conv_p90,T_conv_p95,T_cens_mean,T_cens_median,T_cens_p90,T_cens_p95,final_RB_mean,total_edges,mean_degree,max_degree,total_boundary_edges
"baseline",1,50,50,0,1,0,9637.08,8853.5,12495.2,13878.9,9637.08,8853.5,12495.2,13878.9,0.8571428571,91,4.55,8,14
"baseline",2,50,50,0,1,0,5736.02,5485,7926.4,8369.9,5736.02,5485,7926.4,8369.9,0.875,86,4.3,9,8
"baseline",3,50,50,0,1,0,7917.9,7391,10828.7,11535.1,7917.9,7391,10828.7,11535.1,0.8461538462,92,4.6,10,13
"baseline",4,50,50,0,1,0,7516.18,6973,11191.9,12854.45,7516.18,6973,11191.9,12854.45,0.8,87,4.35,10,10
"baseline",5,50,50,0,1,0,9859,9147.5,12900.1,14144.25,9859,9147.5,12900.1,14144.25,0.8888888889,111,5.55,9,9
"baseline",6,50,50,0,1,0,7731.32,7383,9854,11211.4,7731.32,7383,9854,11211.4,0.8181818182,105,5.25,8,11
"baseline",7,50,50,0,1,0,7371.78,7457.5,9090.3,9781.15,7371.78,7457.5,9090.3,9781.15,0.8333333333,102,5.1,10,12
"baseline",8,50,50,0,1,0,7288.78,7067.5,9009.2,10584.75,7288.78,7067.5,9009.2,10584.75,0.8333333333,91,4.55,11,12
"baseline",9,50,50,0,1,0,7322.72,7497.5,9136.6,9393.2,7322.72,7497.5,9136.6,9393.2,0.8333333333,80,4,8,12
"baseline",10,50,50,0,1,0,7280.66,6364.5,10630.2,11863.6,7280.66,6364.5,10630.2,11863.6,0.875,84,4.2,9,8
"baseline",11,50,50,0,1,0,6429.1,5825.5,9499.1,9906.9,6429.1,5825.5,9499.1,9906.9,0.8181818182,84,4.2,7,11
"baseline",12,50,50,0,1,0,5678.3,5372.5,7272.9,8527.65,5678.3,5372.5,7272.9,8527.65,0.8,82,4.1,9,10
"baseline",13,50,50,0,1,0,9586.44,9360,12231.5,13249.3,9586.44,9360,12231.5,13249.3,0.8571428571,101,5.05,10,14
"baseline",14,50,50,0,1,0,7027.86,6678,9152.3,10567.55,7027.86,6678,9152.3,10567.55,0.8333333333,77,3.85,7,12
"baseline",15,50,50,0,1,0,8918.2,8101,12633.2,15792.45,8918.2,8101,12633.2,15792.45,0.8888888889,99,4.95,9,9
