architecture,graph_id,n_trajectories,n_converged,n_nonconverged,convergence_rate,nonconvergence_rate,T_conv_mean,T_conv_median,T_conv_p90,T_conv_p95,T_cens_mean,T_cens_median,T_cens_p90,T_cens_p95,final_RB_mean,total_edges,mean_degree,max_degree,total_boundary_edges
"boundary_spanning",1,50,50,0,1,0,4377.22,4308.5,5110.9,5441.3,4377.22,4308.5,5110.9,5441.3,0.8333333333,89,4.45,9,12
"boundary_spanning",2,50,50,0,1,0,4354.74,4275.5,5243.5,5748.6,4354.74,4275.5,5243.5,5748.6,0.8333333333,90,4.5,10,12
"boundary_spanning",3,50,50,0,1,0,4295.24,4267.5,5144.4,5518.95,4295.24,4267.5,5144.4,5518.95,0.8333333333,91,4.55,10,12
"boundary_spanning",4,50,50,0,1,0,4646.3,4678.5,5424.7,5789.35,4646.3,4678.5,5424.7,5789.35,0.8333333333,89,4.45,10,12
"boundary_spanning",5,50,50,0,1,0,6294.4,6153,7645,7955.7,6294.4,6153,7645,7955.7,0.8333333333,114,5.7,14,12
"boundary_spanning",6,50,50,0,1,0,6210.28,6174.5,7298.3,7674.75,6210.28,6174.5,7298.3,7674.75,0.8333333333,106,5.3,12,12
"boundary_spanning",7,50,50,0,1,0,5615.32,5476.5,6753.8,6977.15,5615.32,5476.5,6753.8,6977.15,0.8333333333,102,5.1,10,12
"boundary_spanning",8,50,50,0,1,0,4897.92,4867,5920.7,6000.3,4897.92,4867,5920.7,6000.3,0.8333333333,91,4.55,12,12
"boundary_spanning",9,50,50,0,1,0,4057.58,4049,4913.6,4948.95,4057.58,4049,4913.6,4948.95,0.8333333333,80,4,9,12
"boundary_spanning",10,50,50,0,1,0,5181.66,5027,6302,6617.5,5181.66,5027,6302,6617.5,0.8333333333,88,4.4,10,12
"boundary_spanning",11,50,50,0,1,0,4118.58,4072,4816.9,4935.55,4118.58,4072,4816.9,4935.55,0.8333333333,85,4.25,9,12
"boundary_spanning",12,50,50,0,1,0,4811.1,4725,6042.4,6185.15,4811.1,4725,6042.4,6185.15,0.8333333333,84,4.2,8,12
"boundary_spanning",13,50,50,0,1,0,4279.38,4156.5,5156.8,5645,4279.38,4156.5,5156.8,5645,0.8333333333,99,4.95,10,12
"boundary_spanning",14,50,50,0,1,0,4116.9,3972,4658.7,5091.65,4116.9,3972,4658.7,5091.65,0.8333333333,77,3.85,8,12
"boundary_spanning",15,50,50,0,1,0,5363.32,5163.5,6420.9,6695.15,5363.32,5163.5,6420.9,6695.15,0.8333333333,102,5.1,11,12
"boundary_spanning",16,50,50,0,1,0,4384.82,4310,5390.9,5574.8,4384.82,4310,5390.9,5574.8,0.8333333333,96,4.8,10,12
"boundary_spanning",17,50,50,0,1,0,5035.98,5034,6048.9,6224.75,5035.98,5034,6048.9,6224.75,0.8333333333,93,4.65,11,12
"boundary_spanning",18,50,50,0,1,0,4210.94,4065,5148.3,5419.2,4210.94,4065,5148.3,5419.2,0.8333333333,91,4.55,8,12
"boundary_spanning",19,50,50,0,1,0,4620.16,4556,5554.5,5917.65,4620.16,4556,5554.5,5917.65,0.8333333333,92,4.6,10,12
"boundary_spanning",20,50,50,0,1,0,4300.08,4296.5,5004.1,5407.25,4300.08,4296.5,5004.1,5407.25,0.8333333333,84,4.2,9,12
"boundary_spanning",21,50,50,0,1,0,4649.7,4505.5,5585.4,5791.7,4649.7,4505.5,5585.4,5791.7,0.8333333333,98,4.9,10,12
"boundary_spanning",22,50,50,0,1,0,5169.64,5049,6513.4,6972.6,5169.64,5049,6513.4,6972.6,0.8333333333,86,4.3,11,12
"boundary_spanning",23,50,50,0,1,0,4692.26,4651.5,5662.8,5903.3,4692.26,4651.5,5662.8,5903.3,0.8333333333,85,4.25,12,12
