architecture,graph_id,n_trajectories,n_converged,n_nonconverged,convergence_rate,nonconvergence_rate,T_conv_mean,T_conv_median,T_conv_p90,T_conv_p95,T_cens_mean,T_cens_median,T_cens_p90,T_cens_p95,final_RB_mean,total_edges,mean_degree,max_degree,total_boundary_edges
"random_bridging",1,50,50,0,1,0,7042.94,6867,9148.4,9674.75,7042.94,6867,9148.4,9674.75,0.8333333333,89,4.45,8,12
"random_bridging",2,50,50,0,1,0,8273.2,7825,11292.3,12201.7,8273.2,7825,11292.3,12201.7,0.8333333333,90,4.5,10,12
"random_bridging",3,50,50,0,1,0,7208.48,6971.5,9474.9,9592.2,7208.48,6971.5,9474.9,9592.2,0.8333333333,91,4.55,8,12
"random_bridging",4,50,50,0,1,0,6294.26,5913.5,8488.6,9730.6,6294.26,5913.5,8488.6,9730.6,0.8333333333,89,4.45,10,12
"random_bridging",5,50,50,0,1,0,11192,10229,15450,19273.6,11192,10229,15450,19273.6,0.8333333333,114,5.7,12,12
"random_bridging",6,50,50,0,1,0,9546.92,9508.5,12768.3,13603.95,9546.92,9508.5,12768.3,13603.95,0.8333333333,106,5.3,9,12
"random_bridging",7,50,50,0,1,0,8413.18,7747.5,12385.2,13481.15,8413.18,7747.5,12385.2,13481.15,0.8333333333,102,5.1,11,12
"random_bridging",8,50,50,0,1,0,6285.08,6196,8153.2,8727.7,6285.08,6196,8153.2,8727.7,0.8333333333,91,4.55,9,12
"random_bridging",9,50,50,0,1,0,7252.26,7039,9249.7,10581.85,7252.26,7039,9249.7,10581.85,0.8333333333,80,4,8,12
"random_bridging",10,50,50,0,1,0,6635.48,6604,8695.2,9110.1,6635.48,6604,8695.2,9110.1,0.8333333333,88,4.4,9,12
"random_bridging",11,50,50,0,1,0,7409.54,6803,10018.4,11495.5,7409.54,6803,10018.4,11495.5,0.8333333333,85,4.25,7,12
"random_bridging",12,50,50,0,1,0,6494.04,6013,8457.9,10044.8,6494.04,6013,8457.9,10044.8,0.8333333333,84,4.2,8,12
"random_bridging",13,50,50,0,1,0,7580.8,7223,9873.7,10912.8,7580.8,7223,9873.7,10912.8,0.8333333333,99,4.95,10,12
"random_bridging",14,50,50,0,1,0,7045.94,7003,9089.5,9702.9,7045.94,7003,9089.5,9702.9,0.8333333333,77,3.85,7,12
"random_bridging",15,50,50,0,1,0,8830.22,8704.5,11403.6,11921.6,8830.22,8704.5,11403.6,11921.6,0.8333333333,102,5.1,9,12
"random_bridging",16,50,50,0,1,0,7666.1,7480,9675.3,10259.5,7666.1,7480,9675.3,10259.5,0.8333333333,96,4.8,11,12
"random_bridging",17,50,50,0,1,0,6256.28,6176,7795.6,8029.1,6256.28,6176,7795.6,8029.1,0.8333333333,93,4.65,9,12
"random_bridging",18,50,50,0,1,0,6733.88,6248.5,9293.7,10047.2,6733.88,6248.5,9293.7,10047.2,0.8333333333,91,4.55,8,12
"random_bridging",19,50,50,0,1,0,7673.96,7136,11151.4,13193.55,7673.96,7136,11151.4,13193.55,0.8333333333,92,4.6,7,12
"random_bridging",20,50,50,0,1,0,6587.46,6679.5,7649,8439.75,6587.46,6679.5,7649,8439.75,0.8333333333,84,4.2,8,12
"random_bridging",21,50,50,0,1,0,7887.64,7658.5,9710.3,10490.1,7887.64,7658.5,9710.3,10490.1,0.8333333333,98,4.9,9,12
"random_bridging",22,50,50,0,1,0,6659.12,6166.5,8457.2,9731.65,6659.12,6166.5,8457.2,9731.65,0.8333333333,86,4.3,7,12
"random_bridging",23,50,50,0,1,0,7578.62,7255.5,10182.4,12585.3,7578.62,7255.5,10182.4,12585.3,0.8333333333,85,4.25,9,12
"random_bridging",24,50,50,0,1,0,7439.16,6904,9735.7,11315.95,7439.16,6904,9735.7,11315.95,0.8333333333,91,4.55,8,12
"random_bridging",25,50,50,0,1,0,5797.82,5585,7372,7644.5,5797.82,5585,7372,7644.5,0.8333333333,74,3.7,9,12
"random_bridging",26,50,50,0,1,0,7247.1,6999,10536.5,11596.75,7247.1,6999,10536.5,11596.75,0.8333333333,89,4.45,9,12
"random_bridging",27,50,50,0,1,0,6596.3,6128.5,9556.1,10661.3,6596.3,6128.5,9556.1,10661.3,0.8333333333,76,3.8,8,12
"random_bridging",28,50,50,0,1,0,6062.38,5898,7808.1,8204.4,6062.38,5898,7808.1,8204.4,0.8333333333,81,4.05,9,12
"random_bridging",29,50,50,0,1,0,6632.48,6465,9079.7,9843.3,6632.48,6465,9079.7,9843.3,0.8333333333,83,4.15,9,12
"random_bridging",30,50,50,0,1,0,6989.14,6633.5,9334.8,9680.8,6989.14,6633.5,9334.8,9680.8,0.8333333333,85,4.25,9,12
"random_bridging",31,50,50,0,1,0,8215.58,7854,10320.9,11957,8215.58,7854,10320.9,11957,0.8333333333,103,5.15,10,12
"random_bridging",32,50,50,0,1,0,7310.74,7139,9938.6,10530.45,7310.74,7139,9938.6,10530.45,0.8333333333,83,4.15,8,12
"random_bridging",33,50,50,0,1,0,7901.26,7375,9995.2,11352.7,7901.26,7375,9995.2,11352.7,0.8333333333,95,4.75,9,12
"random_bridging",34,50,50,0,1,0,8077.62,8210.5,10361.8,12654.1,8077.62,8210.5,10361.8,12654.1,0.8333333333,98,4.9,9,12
"random_bridging",35,50,50,0,1,0,5516.5,5137.5,7544.2,7731.75,5516.5,5137.5,7544.2,7731.75,0.8333333333,73,3.65,7,12
"random_bridging",36,50,50,0,1,0,7585.78,7234.5,10594.1,11167.8,7585.78,7234.5,10594.1,11167.8,0.8333333333,80,4,8,12
"random_bridging",37,50,50,0,1,0,7731.78,7584,10289.1,11578.1,7731.78,7584,10289.1,11578.1,0.8333333333,91,4.55,9,12
"random_bridging",38,50,50,0,1,0,6638.92,6248,9239.3,10566.1,6638.92,6248,9239.3,10566.1,0.8333333333,79,3.95,7,12
"random_bridging",39,50,50,0,1,0,7339.68,6893,9817,10626.25,7339.68,6893,9817,10626.25,0.8333333333,86,4.3,11,12
"random_bridging",40,50,50,0,1,0,7617.02,7321,10472.1,10809.4,7617.02,7321,10472.1,10809.4,0.8333333333,105,5.25,9,12
"random_bridging",41,50,50,0,1,0,9309.86,9579.5,12239.5,12496.05,9309.86,9579.5,12239.5,12496.05,0.8333333333,103,5.15,12,12
"random_bridging",42,50,50,0,1,0,5357.52,5154.5,7270.9,7695,5357.52,5154.5,7270.9,7695,0.8333333333,82,4.1,7,12
"random_bridging",43,50,50,0,1,0,6287.2,5795,8525.4,8856,6287.2,5795,8525.4,8856,0.8333333333,82,4.1,7,12
"random_bridging",44,50,50,0,1,0,7551.32,7386.5,9912.8,10655.6,7551.32,7386.5,9912.8,10655.6,0.8333333333,88,4.4,10,12
"random_bridging",45,50,50,0,1,0,8152.4,7824,10994.8,11790.35,8152.4,7824,10994.8,11790.35,0.8333333333,82,4.1,9,12
"random_bridging",46,50,50,0,1,0,6799.22,6543.5,9379.8,10100.8,6799.22,6543.5,9379.8,10100.8,0.8333333333,73,3.65,8,12
"random_bridging",47,50,50,0,1,0,9042.64,8936,11234.7,12125,9042.64,8936,11234.7,12125,0.8333333333,103,5.15,9,12
"random_bridging",48,50,50,0,1,0,5441.04,5493.5,6793,6869.15,5441.04,5493.5,6793,6869.15,0.8333333333,80,4,9,12
"random_bridging",49,50,50,0,1,0,6264.48,6051,8105.3,9081.7,6264.48,6051,8105.3,9081.7,0.8333333333,73,3.65,8,12
"random_bridging",50,50,50,0,1,0,6556.84,6596.5,8364.9,9206.8,6556.84,6596.5,8364.9,9206.8,0.8333333333,87,4.35,9,12
